Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=Fuel Boiler, 76% AFUE	Option=Fuel Boiler, 80% AFUE	Option=Fuel Boiler, 90% AFUE	Option=Fuel Furnace, 60% AFUE	Option=Fuel Furnace, 76% AFUE	Option=Fuel Furnace, 80% AFUE	Option=Fuel Furnace, 92.5% AFUE	Option=None	Option=Shared Heating	Option=Void	source_count	source_weight	sampling_probability
AK	Electricity	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Electricity	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	Ducted Heating	1940s	0	0	0	0	0.125	0.875	0	0	0	0	16	16	3.79678e-07
AK	Fuel Oil	Ducted Heating	1950s	0	0	0	0	0.241379	0.758621	0	0	0	0	33	33	8.94097e-07
AK	Fuel Oil	Ducted Heating	1960s	0	0	0	0	0.194444	0.805556	0	0	0	0	37	37	9.22001e-07
AK	Fuel Oil	Ducted Heating	1970s	0	0	0	0	0.232	0.752	0.016	0	0	0	126	126	2.51192e-06
AK	Fuel Oil	Ducted Heating	1980s	0	0	0	0	0.206349	0.785714	0.00793651	0	0	0	127	127	2.9389e-06
AK	Fuel Oil	Ducted Heating	1990s	0	0	0	0	0.318182	0.636364	0.0454545	0	0	0	23	23	9.34872e-07
AK	Fuel Oil	Ducted Heating	2000s	0	0	0	0	0.0555556	0.944444	0	0	0	0	18	18	8.23923e-07
AK	Fuel Oil	Ducted Heating	2010s	0	0	0	0	0.204938	0.785185	0.00987654	0	0	0	416	1	1.14183e-07
AK	Fuel Oil	Ducted Heating	<1940	0	0	0	0	0.121212	0.878788	0	0	0	0	35	35	3.59141e-07
AK	Fuel Oil	Non-Ducted Heating	1940s	0.51395	0.459618	0.0264317	0	0	0	0	0	0	0	709	9	2.02249e-06
AK	Fuel Oil	Non-Ducted Heating	1950s	0.689655	0.310345	0	0	0	0	0	0	0	0	31	31	4.15345e-06
AK	Fuel Oil	Non-Ducted Heating	1960s	0.544118	0.441176	0.0147059	0	0	0	0	0	0	0	73	73	7.18635e-06
AK	Fuel Oil	Non-Ducted Heating	1970s	0.560185	0.398148	0.0416667	0	0	0	0	0	0	0	224	224	1.93181e-05
AK	Fuel Oil	Non-Ducted Heating	1980s	0.472973	0.5	0.027027	0	0	0	0	0	0	0	153	153	2.8381e-05
AK	Fuel Oil	Non-Ducted Heating	1990s	0.548387	0.451613	0	0	0	0	0	0	0	0	97	97	1.46109e-05
AK	Fuel Oil	Non-Ducted Heating	2000s	0.426471	0.544118	0.0294118	0	0	0	0	0	0	0	68	68	1.37974e-05
AK	Fuel Oil	Non-Ducted Heating	2010s	0.2	0.7	0.1	0	0	0	0	0	0	0	12	12	1.72737e-06
AK	Fuel Oil	Non-Ducted Heating	<1940	0.4	0.575	0.025	0	0	0	0	0	0	0	42	42	2.39186e-06
AK	Fuel Oil	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Fuel Oil	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	Ducted Heating	1940s	0	0	0	0	0.149321	0.306184	0.544495	0	0	0	669	4	5.97122e-08
AK	Natural Gas	Ducted Heating	1950s	0	0	0	0	0.166667	0.5	0.333333	0	0	0	30	30	4.30524e-07
AK	Natural Gas	Ducted Heating	1960s	0	0	0	0	0.16	0.32	0.52	0	0	0	25	25	4.53069e-07
AK	Natural Gas	Ducted Heating	1970s	0	0	0	0	0.171975	0.324841	0.503185	0	0	0	160	160	2.59694e-06
AK	Natural Gas	Ducted Heating	1980s	0	0	0	0	0.16443	0.325503	0.510067	0	0	0	300	300	3.26211e-06
AK	Natural Gas	Ducted Heating	1990s	0	0	0	0	0.0927835	0.278351	0.628866	0	0	0	97	97	1.38416e-06
AK	Natural Gas	Ducted Heating	2000s	0	0	0	0	0.149321	0.306184	0.544495	0	0	0	669	9	2.96545e-07
AK	Natural Gas	Ducted Heating	2010s	0	0	0	0	0.030303	0	0.969697	0	0	0	34	34	1.0147e-07
AK	Natural Gas	Ducted Heating	<1940	0	0	0	0	0.2	0.1	0.7	0	0	0	10	10	2.6198e-08
AK	Natural Gas	Non-Ducted Heating	1940s	0.362233	0.108076	0.529691	0	0	0	0	0	0	0	872	4	1.66441e-07
AK	Natural Gas	Non-Ducted Heating	1950s	0.394737	0.210526	0.394737	0	0	0	0	0	0	0	39	39	1.38151e-06
AK	Natural Gas	Non-Ducted Heating	1960s	0.422414	0.12069	0.456897	0	0	0	0	0	0	0	123	123	3.30183e-06
AK	Natural Gas	Non-Ducted Heating	1970s	0.341398	0.0994624	0.55914	0	0	0	0	0	0	0	385	385	1.08045e-05
AK	Natural Gas	Non-Ducted Heating	1980s	0.403162	0.083004	0.513834	0	0	0	0	0	0	0	260	260	1.04746e-05
AK	Natural Gas	Non-Ducted Heating	1990s	0.166667	0.2	0.633333	0	0	0	0	0	0	0	30	30	2.93245e-06
AK	Natural Gas	Non-Ducted Heating	2000s	0.362233	0.108076	0.529691	0	0	0	0	0	0	0	872	4	1.27377e-06
AK	Natural Gas	Non-Ducted Heating	2010s	0.362233	0.108076	0.529691	0	0	0	0	0	0	0	872	6	3.26434e-07
AK	Natural Gas	Non-Ducted Heating	<1940	0.190476	0.047619	0.761905	0	0	0	0	0	0	0	21	21	1.26124e-07
AK	Natural Gas	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	Natural Gas	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0
AK	None	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0
